,Reviews,Game Title
0," is a masterpiece, a work of art that you will love for its ingenious story pop-culture, references to logical puzzles and co-op multiplayer. Definitely a candidate for game of the year. [Issue#204]",Portal 2
1,"Skyrim is definitely one of the best games of 2011, but if the DLC holds out, it might just be one of the best games of 2012 as well.",The Elder Scrolls V: Skyrim
2,"Beautiful graphics, that wonderful soundtrack, the enthralling story and that damn annoying fairy, the 3DS version has it all and is easily the best port to ever be made of the legend.",The Legend of Zelda: Ocarina of Time 3D
3," is one of those games that rightly garnered much attention with the end of 2011 Game of the Year lists. Maybe it didn't get as much attention from PC gamers, but it should. If you want to have the definitive Arkham City experience, I'd say PC is the way to go.",Batman: Arkham City
4,"There's no question – if you own a 3DS, this is the best game on the platform, and instantly worthy of a purchase. It's one of the best portable platformers I've ever played (and I've had my fair share), and an almost shockingly good Mario title on any platform.",Super Mario 3D Land
5,There are only a few games this year we suggest to 16-yrs old gamers and their fathers together. Human Revolution for sure is a Game of the Year nominee.[Oct 2011],Deus Ex: Human Revolution
6,Pullblox is one of the finest titles currently available for the 3DS and even in a world where iPhone games can cost under a pound there's no questioning the value for money that Pullblox provides; it's really is a massive game with near-endless customisability.,Pushmo
7,It's the ideal example of evolution trumping revolution in creating great video games.,Total War: Shogun 2
8,"Finally the PC version of FIFA 12 features the same quality of its console counterpart, both in terms of graphics and gameplay. So you got some new, cool features: from Tactical Defending to Impact Engine, from a brand new career mode to Online Seasons. Maybe FIFA 12 is not the perfect soccer game, but it's damn close.",FIFA Soccer 12
9,As a complete package  absolutely delivers and if you don't have some angry agenda against Origin it's a must-play. The PC version in particular ushers in a new era of graphical magnificence and the disparity between the consoles begs Sony and Microsoft to up the ante. Shooters don't come much better than this and it's a great way to kick off this year's holiday game rush.,Battlefield 3
10, is a wonderfully dark experience with its only real flaw being its stunted length.,LIMBO
11,"As good as open world action gets. [May 2011, p.58]",Assassin's Creed: Brotherhood
12, is one of the finest examples of how great an RPG can be.,The Witcher 2: Assassins of Kings
13,"Many horror games are able to deliver shocks during play, but none does it as well as . Isaac's inner struggle in the tense setting of ""Sprawl"" provides an unforgettable atomsphere, making  one of the most terrifying and unmissable horror games this generation and the benchmark for others to follow.",Dead Space 2
14," is one of the most original titles I've played in quite some time. From the charming graphics to the smooth vibes of the narrator perfectly blended with a magical soundtrack, and the 10-12 hours of action-packed exploration and combat,  is like kicking back with your favorite interactive storybook.",Bastion
15, meets and exceeds all my expectations as a sequel and a next-gen shooter.,Crysis 2
16,A fantastic achievement for Codemasters that will do fans proud.,DiRT 3
17,A must buy and hopefully only the first of many map packs and add-ons! [Jan 2012],Battlefield 3: Back to Karkand
18,"This is a full-featured port on a new platform, and it is without question the best portable fighting game ever released.",Super Street Fighter IV: 3D Edition
19,"I'm hardly a hardcore strategy nerd, so maybe it's the accessibility and surface-level depth I can get down with. I can't wait to dig deeper to see what else I'll enjoy about this topnotch turn-based masterpiece.",Frozen Synapse
20,"With almost ten years of thrilling races behind them, even the most fine-tuned racing fireballs can show signs of fatigue. But rather than risking a break-down, Nintendo was smart enough to dismantle its Mario Kart core formula in order to correctly refreshen each and every one of its clogs before putting them back together. As an added bonus, the mechanic repainted it nicely and added some of the latest technologies. The end result roars at soon as the engine starts, and promises to run nicely for quite some time thanks to solid online features.",Mario Kart 7
21,"They have succeeded far beyond my admittedly high expectations. As a KOTOR fan, I finally have my long-awaited sequel(s). As an MMO fan, I am hooked. As a Star Wars fan, I am enthralled.",Star Wars: The Old Republic
22,"Saints Row The Third surprised the heck out of me. The GTA comparisons are inevitable, but they are vastly different games. While both hold a mirror up to reality, the reflections are vastly different. As absurd as GTA gets, it still keeps one foot firmly planted in reality. Saints Row has taken a flying leap off the roof of reality, howling the F-bomb while chugging a licensed energy drink all the way down… and I wouldn't have it any other way.",Saints Row: The Third
23,"Due to its extreme complexity,  will never be a title for everyone. Too deep and articulate for casual players, it will be appreciated only by those who are willing to engage themselves with the deep game mechanics Nevertheless Spece chem is no doubt one of the most brilliant puzzle game in the history of videogames.",SpaceChem
24,"The perfect entry point into the series for PC gamers. Time to clear some desk space. [Sept 2011, p.82]",Super Street Fighter IV: Arcade Edition
25,"More complete, more polished and more addictive than any previous edition, FM 2012 is coming to claim all of your free time.",Football Manager 2012
26,"Both challenging and elegant,  is perfect for both novices and hardcore gamers alike. [March 2012, p.58]",Unity of Command
27,The Binding Of Isaac is pitch-black and hard as hell.,The Binding of Isaac
28,"Alone or with friends,  is simply one of the best PC games you can play this year. You can check out the demo on Steam if you need further convincing because words and screenshots simply don't do this game justice. Just make sure you experience the magical of . It is an unforgettable adventure that will keep you glued to your PC for days and weeks to come.",Trine 2
29,"Taking the best aspects of the games that came before it, improving on them and adding its own unique elements has  poised to be a long term power in the MMOG community.",Rift
30,"NFS series is back where we want it to be. Perfect graphics, enhanced driving model and the view from the cockpit are the features you will Shift 2 piously worship. [Issue#203]",Shift 2: Unleashed
31,ANNO 2070 is the perfect game for everyone who loves to tweak an economy and build large scale cities. Especially the endgame is really complex with many things to do. A must have for every ANNO-Player.,Anno 2070
32,"An incredibly robust and enjoyable take on the tower defense genre. Tight controls, a plethora of options, and a general fun factor that keeps you coming back again, and again, and again. It is hard not to love this game.",Orcs Must Die!
33,"Still,  is a great adventure, one of the best sandbox games around, and an absolute steal for ten bucks on Steam. It's well worth checking out for anyone, regardless of how they feel about Minecraft. Despite having one fewer dimension,  hides greater depth than its 3D cousin.",Terraria
34,"The wannabe detective's definitive version to plump for. [Feb 2012, p.101]",L.A. Noire: The Complete Edition
35,"The game's design is immaculate, playing a bit like a cross between Metroid and Super Meat Boy. It works hard to be as non-linear as possible, and it never relies on the same ideas for too long, which keeps the excitement coming at a steady pace.",VVVVVV
36,"Next evolution in F1 simulators is accessible to a mass audience and offers cutting-edge technologies and a stunning atmosphere along with ""sweat and blood"". [Oct 2011]",F1 2011
37,"If you're going to try and woo a modern gaming audience with old-fashioned gameplay, you'd better be pretty special.  is. It's smart, funny, well-crafted and has tons of heart.",The Book of Unwritten Tales
38,"Speaking for myself, I'd rather play through Cave Story again five times than have a second run through the tedious and dated Ocarina of Time, and discovering this game's unique world in a new 3D format has been surprisingly rewarding. It may very well be the 3DS' best game to date.",Cave Story 3D
39," is equal parts tense, thoughtful, and surprising; it's the single best, most compelling adventure game I've played in years.",Gemini Rue
40,"If you were like me and worried about , you can relax. It's not quite the same game, but where it's different it is better.",Dragon Age II
41,"You can't knock the quality of the game, as Vicarious Visions not only made an awesome 3D platformer, they made a great 3DS-exclusive title.",Skylanders: Spyro's Adventure
42,"Brilliant design; a reward-happy, lighthearted multiplayer fray. One of the finest $15 shooters ever made.",Monday Night Combat
43,"An incredibly welcome breath of fresh air. Never underestimate the simple need to let loose and cause some mayhem, and the skill shot system is exceptionally done.",Bulletstorm
44,"You will love it though if you chose the Weird Wasteland perk, loved the Vault filled with Garys in 3, or just don't mind playing through an extremely funny and well-written DLC pack that throws interesting surprises at you all the time, rewards exploration greatly, and packs more imagination and play-time in it than nearly every other full-priced game out there.",Fallout: New Vegas - Old World Blues
45,"To The Moon is one of those games you instantly fall in love with.
With it's simple, but elegant design, incredible writing, and
thrilling, heartfelt tale, To The Moon is more story than game, but
what a story it is.",To the Moon
46,"There's some serious challenge to the game if you take the time to find it, and that holds true with the 3DS version as well. Also, the game is well suited to portable play, as each mission only takes about 5 to 10 minutes to complete.",Star Fox 64 3D
